"Date","Price","Open","High","Low","Vol.","Change %"
"09/23/2015","1,938.80","1,943.20","1,949.50","1,932.60","","-0.20%"
"09/22/2015","1,942.70","1,961.40","1,961.40","1,929.20","","-1.24%"
"09/21/2015","1,967.00","1,960.80","1,979.60","1,955.80","","0.46%"
"09/18/2015","1,958.00","1,989.70","1,989.70","1,953.50","","-1.62%"
"09/17/2015","1,990.20","1,995.30","2,020.90","1,986.70","","-0.26%"
"09/16/2015","1,995.30","1,978.00","1,997.30","1,977.90","","0.87%"
"09/15/2015","1,978.10","1,955.10","1,983.20","1,954.30","","1.29%"
"09/14/2015","1,953.00","1,963.10","1,963.10","1,948.30","","-0.41%"
"09/11/2015","1,961.00","1,951.50","1,961.00","1,939.20","","0.45%"
"09/10/2015","1,952.30","1,941.60","1,965.30","1,937.20","","0.53%"
"09/09/2015","1,942.00","1,971.50","1,988.60","1,937.90","","-1.39%"
"09/08/2015","1,969.40","1,927.30","1,970.40","1,927.30","","2.51%"
"09/04/2015","1,921.20","1,947.80","1,947.80","1,911.20","","-1.53%"
"09/03/2015","1,951.10","1,950.80","1,975.00","1,944.70","","0.11%"
"09/02/2015","1,948.90","1,916.50","1,948.90","1,916.50","","1.83%"
"09/01/2015","1,913.80","1,970.10","1,970.10","1,903.10","","-2.96%"
"08/31/2015","1,972.20","1,986.70","1,986.70","1,966.00","","-0.84%"
"08/28/2015","1,988.90","1,986.10","1,993.50","1,975.20","","0.06%"
"08/27/2015","1,987.70","1,942.80","1,989.60","1,942.80","","2.43%"
"08/26/2015","1,940.50","1,872.80","1,943.10","1,872.80","","3.90%"
"08/25/2015","1,867.60","1,898.10","1,948.00","1,867.10","","-1.35%"
"08/24/2015","1,893.20","1,965.20","1,965.20","1,867.00","","-3.94%"
"08/21/2015","1,970.90","2,034.10","2,034.10","1,970.90","","-3.18%"
"08/20/2015","2,035.70","2,076.60","2,076.60","2,035.70","","-2.11%"
"08/19/2015","2,079.60","2,095.70","2,096.20","2,070.50","","-0.83%"
"08/18/2015","2,096.90","2,102.00","2,103.50","2,094.10","","-0.26%"
"08/17/2015","2,102.40","2,089.70","2,102.90","2,079.30","","0.52%"
"08/14/2015","2,091.50","2,083.20","2,092.40","2,080.60","","0.39%"
"08/13/2015","2,083.40","2,086.20","2,092.90","2,078.30","","-0.13%"
"08/12/2015","2,086.10","2,081.10","2,089.10","2,052.10","","0.10%"
"08/11/2015","2,084.10","2,102.70","2,102.70","2,076.50","","-0.96%"
"08/10/2015","2,104.20","2,081.00","2,105.30","2,081.00","","1.28%"
"08/07/2015","2,077.60","2,082.60","2,082.60","2,067.90","","-0.29%"
"08/06/2015","2,083.60","2,100.80","2,103.30","2,075.50","","-0.77%"
"08/05/2015","2,099.80","2,095.30","2,112.70","2,095.30","","0.31%"
"08/04/2015","2,093.30","2,097.70","2,102.50","2,088.60","","-0.22%"
"08/03/2015","2,098.00","2,104.50","2,105.70","2,087.30","","-0.28%"
"07/31/2015","2,103.80","2,111.60","2,114.20","2,102.10","","-0.23%"
"07/30/2015","2,108.60","2,106.80","2,110.50","2,095.00","","0.00%"
"07/29/2015","2,108.60","2,094.70","2,110.60","2,094.10","","0.74%"
"07/28/2015","2,093.20","2,070.80","2,095.60","2,069.10","","1.24%"
"07/27/2015","2,067.60","2,078.20","2,078.20","2,063.50","","-0.58%"
"07/24/2015","2,079.70","2,102.20","2,106.00","2,077.10","","-1.07%"
"07/23/2015","2,102.20","2,114.20","2,116.90","2,098.60","","-0.57%"
"07/22/2015","2,114.20","2,118.20","2,118.50","2,110.00","","-0.24%"
